date,sentiment_score
2026-02-14 11:26:44,-0.128599
2026-02-14 11:26:50,0.231182
2026-02-14 11:26:53,0.046703
2026-02-14 11:27:00,0.0683
2026-02-14 11:27:05,0.876418
2026-02-14 11:27:08,0.236058
2026-02-14 11:27:09,0.513163
2026-02-14 11:27:10,-0.700039
2026-02-14 11:27:11,0.114457
2026-02-14 11:27:19,0.42117
2026-02-14 11:27:20,0.369289
2026-02-14 11:27:22,-0.23558
2026-02-14 11:27:23,0.041236
2026-02-14 11:27:23,-0.254004
2026-02-14 11:27:23,-0.286023
2026-02-14 11:27:24,0.434988
2026-02-14 11:27:24,0.275452
2026-02-14 11:27:27,0.293932
2026-02-14 11:27:29,-0.201723
2026-02-14 11:27:30,0.049635
2026-02-14 11:27:31,0.43273
2026-02-14 11:27:32,-0.254657
2026-02-14 11:27:32,0.489799
2026-02-14 11:27:32,-0.216144
2026-02-14 11:27:34,0.039165
2026-02-14 11:27:35,0.305331
2026-02-14 11:27:36,0.005264
2026-02-14 11:27:38,0.104175
2026-02-14 11:27:39,0.310146
2026-02-14 11:27:39,0.472827
2026-02-14 11:27:39,-0.203104
2026-02-14 11:27:41,0.46483
2026-02-14 11:27:41,0.111016
2026-02-14 11:27:43,0.289998
2026-02-14 11:27:44,-0.075792
2026-02-14 11:27:45,0.450887
2026-02-14 11:27:45,0.226909
2026-02-14 11:27:47,-0.641477
2026-02-14 11:27:47,0.452321
2026-02-14 11:27:49,0.338251
2026-02-14 11:27:49,-0.246547
2026-02-14 11:27:49,0.41228
2026-02-14 11:27:52,0.846447
2026-02-14 11:27:52,0.046595
2026-02-14 11:27:54,0.147403
2026-02-14 11:27:54,0.492987
2026-02-14 11:27:54,-0.42739
2026-02-14 11:27:56,0.015767
2026-02-14 11:28:02,0.168641
2026-02-14 11:28:04,0.486343
2026-02-14 11:28:05,0.188843
2026-02-14 11:28:08,0.231171
2026-02-14 11:28:10,0.093631
2026-02-14 11:28:10,0.807533
2026-02-14 11:28:11,0.04067
2026-02-14 11:28:15,0.493509
2026-02-14 11:28:20,-0.059466
2026-02-14 11:28:22,0.032789
2026-02-14 11:28:25,-0.238763
2026-02-14 11:28:29,0.29583
2026-02-14 11:28:29,0.181365
2026-02-14 11:28:29,-0.82631
2026-02-14 11:28:37,-0.479145
2026-02-14 11:29:32,0.031233
2026-02-14 11:31:00,-0.207511
2026-02-14 11:31:31,0.409203
2026-02-14 11:31:34,0.20803
2026-02-14 11:33:38,0.272432
2026-02-14 11:38:00,0.003491
2026-02-14 11:40:00,0.339752
2026-02-14 11:41:22,-0.050267
2026-02-14 11:41:25,0.281736
2026-02-14 11:42:00,0.43743
2026-02-14 11:42:47,0.517015
2026-02-14 11:43:19,0.042502
2026-02-14 11:43:25,0.101195
2026-02-14 11:43:25,-0.051831
2026-02-14 11:44:00,0.337985
2026-02-14 11:48:00,0.010468
2026-02-14 11:52:00,0.148923
2026-02-14 11:52:46,0.223447
2026-02-14 11:52:47,0.242411
2026-02-14 11:52:48,0.123341
2026-02-14 11:52:51,0.298855
