Date,AAPL,ACN,ADBE,AMD,AVGO,CRM,CSCO,MSFT,NVDA,ORCL,AXP,BAC,GS,INTC,JPM,MA,MS,TXN,V,WFC,AMZN,BKNG,BLK,C,HD,LOW,MCD,NKE,SBUX,TSLA,ABBV,DIS,GOOGL,JNJ,LLY,META,NFLX,TMUS,UNH,VZ,AMGN,COST,GILD,ISRG,KO,MRK,PEP,PFE,PG,TMO,COP,CVX,EOG,GE,MO,MPC,PM,SLB,WMT,XOM,APD,BA,CAT,FCX,HON,LIN,LMT,RTX,UNP,UPS,AMT,D,EQIX,NEE,NEM,PLD,SHW,SO,SPG
2016-02-11,21.221214294433594,79.77210998535156,74.94000244140625,1.8600000143051147,8.891363143920898,58.52886199951172,18.174936294555664,43.50908279418945,0.6171320080757141,29.99509048461914,44.36420822143555,8.963640213012695,114.65725708007812,22.49896812438965,40.58147430419922,77.35836029052734,16.346908569335938,38.27404022216797,63.705440521240234,34.14780807495117,25.19099998474121,1038.2513427734375,229.3470916748047,26.02593421936035,89.2645492553711,52.71110916137695,91.5044174194336,49.289756774902344,44.76191711425781,10.031332969665527,34.51213836669922,83.2420654296875,35.05314636230469,77.0985107421875,60.574825286865234,101.20307159423828,8.635000228881836,32.87657928466797,94.24281311035156,29.165319442749023,105.81521606445312,123.56352996826172,61.417232513427734,57.95000076293945,30.97201156616211,34.220340728759766,71.68316650390625,17.838529586791992,60.7867317199707,119.81678771972656,23.638628005981445,54.103187561035156,47.99644088745117,116.24702453613281,30.769453048706055,22.494264602661133,53.75654220581055,51.78823471069336,18.147294998168945,51.83250427246094,92.13884735107422,98.15258026123047,48.55314254760742,4.42451810836792,74.12059020996094,85.60872650146484,158.6143341064453,42.030296325683594,60.38296127319336,65.9608154296875,65.47777557373047,44.935386657714844,226.64134216308594,21.657896041870117,19.649450302124023,26.69814109802246,75.2706069946289,31.92955780029297,109.94617462158203
2016-02-12,21.286897659301758,80.8564682006836,76.66999816894531,1.8300000429153442,9.300345420837402,58.96357727050781,18.491600036621094,44.21833419799805,0.6276209950447083,30.597747802734375,45.709617614746094,9.598166465759277,119.09065246582031,22.83382225036621,43.96136474609375,79.97748565673828,17.402034759521484,38.85142517089844,65.51976776123047,35.773536682128906,25.354000091552734,1040.976806640625,239.16143798828125,27.930631637573242,91.66814422607422,53.933265686035156,92.4450912475586,49.65943908691406,45.52806091308594,10.06933307647705,34.77670669555664,84.01629638671875,35.07945251464844,77.1894760131836,60.44757843017578,101.3023681640625,8.739999771118164,33.91997528076172,95.26515197753906,29.590497970581055,108.25379943847656,125.24859619140625,62.879539489746094,59.03111267089844,31.483224868774414,34.34644317626953,72.85941314697266,17.97937774658203,61.615989685058594,122.90694427490234,24.39495086669922,55.69387435913086,49.563140869140625,119.67724609375,30.75919532775879,23.393739700317383,54.19468307495117,53.288917541503906,18.386220932006836,52.76366424560547,94.41313934326172,98.32453918457031,49.9288444519043,5.003597736358643,75.53671264648438,87.0934066772461,157.77224731445312,42.67073059082031,61.709869384765625,67.45915222167969,67.05091857910156,44.76008605957031,234.7411651611328,21.613374710083008,20.230134963989258,27.07343292236328,77.93370056152344,31.83652114868164,111.18194580078125
2016-02-16,21.887067794799805,82.74340057373047,78.87999725341797,1.8300000429153442,9.650466918945312,59.00309753417969,19.029184341430664,45.05613708496094,0.6583555936813354,30.73551368713379,46.160987854003906,9.83912181854248,121.44587707519531,22.945436477661133,44.61897659301758,81.19283294677734,17.876842498779297,39.91501998901367,66.15245056152344,36.47675323486328,26.05500030517578,1092.798828125,245.1404571533203,28.935060501098633,94.11907196044922,56.06166076660156,93.42497253417969,50.86527633666992,45.976322174072266,10.344667434692383,35.39181137084961,85.63856506347656,35.6129150390625,77.56851959228516,62.19475555419922,100.9051513671875,8.904999732971191,35.21455383300781,98.10212707519531,29.66725730895996,110.07151794433594,125.63623809814453,64.08171844482422,59.462223052978516,31.665807723999023,34.871826171875,72.9407730102539,18.254941940307617,61.98115158081055,123.82037353515625,24.291139602661133,55.990962982177734,49.70222473144531,122.21815490722656,30.92845916748047,23.990938186645508,54.8397216796875,54.38029861450195,18.308427810668945,52.88738250732422,95.13744354248047,101.91792297363281,51.55755615234375,5.763637065887451,76.60974884033203,87.23603057861328,160.0077362060547,42.93386459350586,63.44446563720703,68.36783599853516,67.66142272949219,44.896453857421875,240.0312957763672,21.74498748779297,19.272777557373047,27.891559600830078,78.62905883789062,31.95612335205078,112.89032745361328
2016-02-17,22.222261428833008,84.5363998413086,81.8499984741211,1.899999976158142,9.989884376525879,62.727848052978516,19.48577308654785,46.22905731201172,0.6746986508369446,31.536182403564453,46.53422164916992,10.088113784790039,123.0105972290039,23.49555206298828,44.940147399902344,82.16321563720703,18.261205673217773,40.78868103027344,67.14996337890625,36.39358901977539,26.704999923706055,1215.66845703125,249.35780334472656,29.597244262695312,95.5218276977539,56.53557205200195,93.00167083740234,51.19974136352539,46.970680236816406,11.245332717895508,36.38392639160156,88.02587127685547,36.32404708862305,77.70498657226562,63.33976745605469,104.4702377319336,9.47599983215332,35.60099411010742,100.78579711914062,29.714494705200195,113.00370788574219,127.15288543701172,62.82328414916992,60.206668853759766,31.76073455810547,35.44624328613281,73.64356994628906,18.144718170166016,62.72674560546875,127.00772857666016,25.14385414123535,58.30162048339844,51.847293853759766,124.25093841552734,30.97975730895996,24.300588607788086,55.51518249511719,55.2746467590332,18.366777420043945,53.395286560058594,95.97763061523438,105.30311584472656,53.17837905883789,6.478436470031738,77.47111511230469,87.6553955078125,162.8710174560547,44.07422637939453,63.91608810424805,68.18748474121094,67.45791625976562,45.298980712890625,239.49575805664062,21.56692886352539,19.492502212524414,28.116737365722656,78.69283294677734,31.78335189819336,113.35072326660156
2016-02-18,21.80101203918457,84.11804962158203,80.52999877929688,1.909999966621399,9.713916778564453,60.95933151245117,19.46367835998535,46.02621841430664,0.7327530980110168,31.536182403564453,47.00297164916992,9.83109188079834,120.39460754394531,23.45569610595703,44.2060546875,81.06092071533203,18.057722091674805,40.31005859375,66.4134750366211,36.09111404418945,26.25,1231.79443359375,246.30978393554688,28.95738983154297,94.54460906982422,56.30274963378906,91.84932708740234,51.578216552734375,46.42460250854492,11.118000030517578,36.079673767089844,87.7216796875,35.60646438598633,79.0240478515625,62.31351852416992,102.75223541259766,9.048999786376953,35.388458251953125,100.0616455078125,30.080617904663086,111.67970275878906,125.24859619140625,62.56317138671875,60.29111099243164,31.848365783691406,35.25010299682617,73.69532012939453,18.095727920532227,62.36918640136719,126.0262451171875,24.98813819885254,57.25852584838867,50.85163497924805,123.14984130859375,31.092588424682617,23.128320693969727,55.77074432373047,55.08517074584961,17.81390953063965,53.688316345214844,95.0070571899414,106.41644287109375,52.27705764770508,6.469388961791992,77.71928405761719,87.6553955078125,163.98880004882812,44.19425582885742,62.876930236816406,68.1455307006836,68.48319244384766,45.285987854003906,239.215576171875,22.128211975097656,19.67299461364746,28.274356842041016,77.36583709716797,32.47443771362305,114.65319061279297
2016-02-19,21.751188278198242,84.48516845703125,80.87000274658203,1.909999966621399,9.836227416992188,61.394046783447266,19.552047729492188,45.69991683959961,0.7425100803375244,31.665311813354492,47.48905563354492,9.742742538452148,119.72630310058594,22.889629364013672,44.21369934082031,81.76753997802734,18.087865829467773,40.08214569091797,66.68382263183594,36.36333465576172,26.7450008392334,1263.0728759765625,245.00027465820312,29.009464263916016,95.90010070800781,56.9678955078125,91.34762573242188,52.203155517578125,47.00328063964844,11.10533332824707,35.90771484375,87.57421112060547,35.834739685058594,79.53569030761719,61.5841064453125,103.84461212158203,8.92300033569336,33.765403747558594,100.257568359375,30.033369064331055,112.29309844970703,125.29076385498047,61.47345733642578,60.704444885253906,31.965225219726562,35.11000061035156,73.665771484375,18.05898666381836,62.22462844848633,126.48300170898438,24.37270164489746,57.106685638427734,51.03466033935547,122.8957748413086,31.06181526184082,23.290523529052734,55.94722366333008,55.22917175292969,17.963930130004883,53.72086715698242,95.26785278320312,104.23509216308594,51.723602294921875,6.261282920837402,78.30328369140625,86.65724182128906,163.54476928710938,44.12924575805664,63.868133544921875,68.08261108398438,68.34232330322266,45.09769821166992,246.6809539794922,22.20949935913086,19.492502212524414,28.0191650390625,77.58753204345703,32.27508544921875,114.76826477050781
2016-02-22,21.941425323486328,85.68052673339844,83.80000305175781,2.009999990463257,9.986824989318848,63.21195602416992,19.6109619140625,46.431884765625,0.7688539624214172,31.949430465698242,48.28762435913086,10.072046279907227,121.25843811035156,23.399885177612305,44.78720474243164,82.73796081542969,18.49484634399414,40.492393493652344,68.11015319824219,37.19510269165039,27.975000381469727,1267.6776123046875,246.68399047851562,29.4038028717041,96.81424713134766,57.75772476196289,92.24128723144531,52.9600944519043,47.98133087158203,11.849332809448242,36.562503814697266,88.8277816772461,36.17913818359375,79.98619842529297,61.92336654663086,106.4166488647461,9.192999839782715,34.615577697753906,103.31608581542969,30.157379150390625,111.12615966796875,126.43668365478516,62.64051818847656,61.27888870239258,32.08938217163086,35.56534194946289,73.88026428222656,18.401912689208984,62.4832878112793,127.72681427001953,25.544261932373047,58.63834762573242,52.86492156982422,124.54739379882812,31.395206451416016,24.610244750976562,56.312339782714844,56.366050720214844,18.233423233032227,53.649227142333984,96.27462768554688,106.25350189208984,53.217918395996094,7.1751389503479,76.77035522460938,87.4205551147461,164.6089630126953,46.199913024902344,65.23502349853516,68.53707885742188,69.84501647949219,45.92876052856445,247.06004333496094,22.39337158203125,19.712228775024414,28.304380416870117,78.28289031982422,32.62729263305664,114.75617218017578
2016-02-23,21.4454345703125,85.0828628540039,83.06999969482422,1.9700000286102295,9.797242164611816,62.14492416381836,19.23538589477539,45.13551712036133,0.7708054780960083,31.46729850769043,47.83626174926758,9.766836166381836,118.09638977050781,22.961376190185547,42.913753509521484,81.22108459472656,17.869300842285156,39.687095642089844,67.2618179321289,36.37089157104492,27.64699935913086,1241.5745849609375,241.546875,28.436567306518555,98.1382064819336,56.45241928100586,91.63768005371094,52.99530029296875,47.647159576416016,11.814000129699707,36.42361068725586,87.91526794433594,35.595542907714844,79.47460174560547,62.31351852416992,104.72843170166016,8.911999702453613,34.97303009033203,103.21382904052734,29.897550582885742,110.15373992919922,126.68942260742188,62.11322021484375,60.988887786865234,31.906784057617188,35.40423583984375,73.63615417480469,18.3468074798584,62.23984146118164,126.0748519897461,24.40977668762207,56.05699157714844,49.79738998413086,123.74272918701172,31.554208755493164,23.305274963378906,56.01414108276367,54.630409240722656,18.469568252563477,52.893890380859375,95.03604125976562,105.80999755859375,52.00823211669922,6.550821781158447,76.08393859863281,85.74295806884766,164.71612548828125,45.81477737426758,63.10873031616211,67.80292510986328,68.89017486572266,46.019657135009766,240.6575164794922,22.474660873413086,19.924097061157227,28.454496383666992,77.34459686279297,32.62729263305664,114.9076156616211
2016-02-24,21.764772415161133,84.99748229980469,83.41999816894531,2.0199999809265137,9.963889122009277,61.76948165893555,19.382673263549805,45.294246673583984,0.776171863079071,31.536182403564453,47.42830276489258,9.742742538452148,118.6260986328125,23.27231788635254,42.92905044555664,81.4189453125,17.869300842285156,39.85423278808594,66.98210906982422,36.0003776550293,27.70199966430664,1243.8570556640625,240.08135986328125,28.339845657348633,98.98931884765625,57.0510368347168,91.76309967041016,53.16253662109375,47.36189270019531,11.933333396911621,36.30454635620117,87.96133422851562,35.77469253540039,80.14655303955078,62.84786605834961,106.13858795166016,9.16100025177002,35.53337097167969,102.40447998046875,30.009756088256836,110.04154205322266,129.6468963623047,62.82328414916992,61.516666412353516,32.06745910644531,35.41823959350586,73.73973083496094,18.38355255126953,62.04963684082031,126.10398864746094,24.439437866210938,56.294647216796875,50.895545959472656,122.6417236328125,31.472145080566406,25.045238494873047,55.65512466430664,54.72895050048828,18.64737892150879,53.08274459838867,95.28233337402344,104.62427520751953,52.0872917175293,6.514630317687988,75.8343505859375,85.46613311767578,165.84918212890625,46.820098876953125,64.01998901367188,67.7330093383789,69.6806869506836,46.24040985107422,243.08831787109375,22.62091827392578,20.07319450378418,28.64964485168457,78.86286926269531,32.547542572021484,114.59867095947266
2016-02-25,21.91425132751465,86.15865325927734,86.68000030517578,2.0299999713897705,10.126721382141113,68.58665466308594,19.588865280151367,45.94685745239258,0.7778793573379517,32.10439682006836,48.07931137084961,9.895346641540527,120.81838989257812,23.615144729614258,43.59431076049805,82.36106872558594,18.562671661376953,40.34803771972656,68.30593872070312,36.10624694824219,27.75749969482422,1243.070068359375,244.47784423828125,28.734180450439453,99.97441864013672,57.1175537109375,92.7900161743164,54.90529251098633,47.883506774902344,12.495332717895508,37.170997619628906,88.16413116455078,36.182613372802734,81.23084259033203,63.45848083496094,107.32032775878906,9.45300006866455,37.05982208251953,103.25643920898438,30.181007385253906,109.77227020263672,130.36309814453125,63.3857307434082,62.1422233581543,32.250038146972656,35.7264518737793,74.47211456298828,18.732595443725586,62.64304733276367,126.88141632080078,24.51358985900879,56.31447982788086,50.148826599121094,124.77606201171875,31.99531364440918,25.22955322265625,56.25756072998047,54.83507537841797,18.90296173095703,53.401798248291016,96.3252944946289,105.73758697509766,52.55378341674805,6.442244529724121,76.48770141601562,86.07006072998047,168.45220947265625,49.05083465576172,63.8429069519043,68.32732391357422,69.98590087890625,46.6364631652832,253.3718719482422,22.589717864990234,20.28506851196289,29.325170516967773,80.8704605102539,32.800052642822266,116.27671813964844
